titulo,resumen,autor,fecha,url,sentiment_score,sentiment
"Reficar, Avianca y Promigas, las empresas que más pesan en las cuentas del Caribe","Entre estas compañías destacan gigantes de sectores estratégicos como refinación de petróleo, transporte aéreo y energía",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-de-caribe-en-2024-4170264,0.0,neutral
Finanzas 24-7,El mundo ya se está moviendo hacia una economía 24/7. Sistemas como Pix en Brasil o UPI en India no solo modernizaron sus pagos: cambiaron la relación de los ciudadanos con el dinero,,2025-07-03,https://www.larepublica.co/analisis/jose-ignacio-lopez-2780651/finanzas-24-7-4170844,-0.296,negative
"Colsanitas, el Metro y Esenttia, líderes del bloque dos, desde la 101 a la empresa 200","El segundo bloque tuvo ingresos por $169 billones el año pasado, que representó un incremento de 4,2% frente a lo obtenido en 2023",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-del-segundo-bloque-de-la-101-a-la-200-en-2024-4169842,0.0,neutral
“Esperamos exportar a diferentes países desde nuestra producción local en Siberia”,"Jorge Rohl, gerente de Unidad de Negocio de Congrupo, representante de marcas como Hershey’s y Flips, firmó un alianza con wakeUp, para agregar ofertas de comida saludable a su portafolio",,2025-07-03,https://www.larepublica.co/empresas/esperamos-exportar-a-diferentes-paises-desde-nuestra-produccion-en-siberia-dijo-jorge-rohl-gerente-de-congrupo-4170121,0.0,neutral
La casa de moda inspirada en Ecomoda,,,2025-07-03,https://www.larepublica.co/caja-fuerte/la-casa-de-moda-inspirada-en-ecomoda-4170940,0.0,neutral
Las Mil Empresas concentran 69% del PIB nominal,"Durante 2024, estas compañías reportaron ingresos consolidados por $1.183 billones y utilidades netas por más de $90 billones",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-mil-empresas-concentran-69-del-pib-nominal-4170631,0.0,neutral
"EPM, Enel, ISA, Claro y GEB son las empresas que lideran sector de servicios públicos","A causa de la coyuntura derivada del faltante en la producción de hidrocarburos, algunas de estas compañías han estado en el centro de la agenda mediática",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-empresas-mas-grandes-del-sector-de-servicios-publicos-en-2024-4170762,0.0,neutral
"La prisión Alcatraz en Florida, Estados Unidos tendrá capacidad para más de 5.000 personas","El complejo del sur de Florida, en el Aeropuerto de Entrenamiento y Transición Dade Collier, costará US$450 millones anuales",,2025-07-03,https://www.larepublica.co/globoeconomia/la-prision-en-florida-en-estados-unidos-va-a-tener-capacidad-para-mas-de-5-000-personas-4170984,0.0,neutral
"Ranking de Las Cien Empresas Más Grandes, lo lidera Ecopetrol y EPM","Las utilidades de las 1.000 compañías bajaron $9 billones, desde los $99 billones, hasta los $90 billones que reveló el superintedente Billy Escobar.",,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/las-cien-empresas-mas-grandes-de-2024-4170492,0.0,neutral
Incauca y Holcim están en el club de los más de $940.405 millones,Del sector de construcción solamente Construcciones El Condor y Marval estuvieron en el listado del tercer centenar de las más grandes,,2025-07-03,https://www.larepublica.co/especiales/las-mil-empresas-mas-grandes-de-2024/el-listado-del-puesto-201-al-300-de-las-mil-empresas-mas-grandes-de-2024-4170431,0.0,neutral
